,股票编号,年份（年末）,交易日平均价,预增或预减,超涨或超跌,次新股,每股资本公积(元/股)+每股未分配利润(元/股),每股现金流量净额(元/股),实收资本(或股本),每股收益(期末摊薄，元/股),每股净资产(元/股),营业总收入同必增长(%),近两年送转比例,上市时间,是否高转送
36,6,2,-0.7310536469390505,0,1,0,0.28134498727343576,-0.15338814461374747,-0.12260014235582449,-0.19494389352546035,0.20378723866432547,-0.008223761399160876,1.5416856817328084,-1.1168053998465974,0
37,6,3,-0.6965498787518901,0,1,0,-0.4089252500817359,-0.3019165098338436,-0.11512045249557086,-0.39627723818742494,-0.4101731882248189,-0.00837632177166784,0.7307220520541985,-0.9759009560156485,1
38,6,4,-0.5539212519103212,0,1,0,-0.3782916128702522,-0.6778604127033847,-0.11512045249557086,-0.3599956014832009,-0.37856819711139944,-0.008068217285759537,1.2467898163951323,-0.8349965121846997,0
39,6,5,-0.19983243070569512,0,1,0,-0.868053402503756,-0.009542038313199452,-0.09467008441312293,-0.4770187493775629,-0.824802376197193,-0.008606669660672856,1.2467529544119653,-0.6940920683537508,0
40,6,6,-0.3447812057477821,0,1,0,-0.8676480424650407,-0.35632554386099774,-0.09468644623469223,-0.5286159950184062,-0.8219475688464204,-0.009392234528870242,-0.6700701702829318,-0.553187624522802,0
41,6,7,-0.4802571676207676,0,1,0,-0.8370723138305162,0.02815310944417532,-0.09475330764983365,-0.42854410361700124,-0.7900899399143485,-0.006103388349281429,-0.5963093419653455,-0.4122831806918532,0
47,7,6,-0.17848075852144765,0,1,0,-0.011990909314032457,-0.15321033731300515,-0.12493754543715375,0.6190138086012709,-0.021262530191262542,-0.008559925417314183,0.2397204362669673,-1.398614287508495,0
48,7,7,0.6513241025731372,0,1,0,-0.16776498133462076,-0.09536369547149921,-0.11792533619316597,-0.08178682167335176,-0.181283324525714,-0.008538730035105973,0.3385105511550888,-1.2577098436775462,0
53,8,5,-0.0012289820861533865,0,0,0,0.5840910276167947,1.6516523034221777,-0.11635927612867537,0.18170113012945557,0.4983376714311978,-0.0074829928398522615,0.5832741193853603,-1.2577098436775462,0
54,8,6,0.9330662225152105,0,0,0,-0.022356544589751913,-0.7772546938183493,-0.10856403685244229,-0.03762433765222659,-0.04144829190159206,-0.00819112885885082,0.8044460183886176,-1.1168053998465974,0
55,8,7,0.6144763677823942,0,0,0,0.059294548922898434,-0.4714854056417826,-0.10856403685244229,0.10319004742523305,0.04358959785681727,-0.007017597283438662,-0.44886140929650725,-0.9759009560156485,0
56,9,1,-0.3662862130846894,-1,1,0,-0.9810330361514019,-0.11468542215216616,-0.09640626846521629,-0.45813445486347903,-0.920198416520352,-0.008975998036166097,-0.7437572746341837,0.15133459463194218,0
57,9,2,-0.5840526504598996,-1,1,0,-0.9597516341188495,-0.09222243315838466,-0.09640626846521629,-0.5250473094409415,-0.900997942302767,-0.009104181400164016,-0.714267688100416,0.292239038462891,0
58,9,3,-0.5726418929395254,-1,1,0,-0.940439123702914,-0.17875531951965376,-0.09640626846521629,-0.5101777862015053,-0.8835911965976143,-0.008582549284800319,-0.6803546635865833,0.43314348229383987,0
59,9,4,-0.40583190279415554,-1,1,0,-0.9194762188436378,0.04261476990455179,-0.09640626846521629,-0.46200053090573245,-0.8624706749582708,-0.00820784089981878,-0.6626609116663227,0.5740479261247887,0
60,9,5,-0.3127133568098947,-1,1,0,-0.9105582979919015,-0.20050707931046594,-0.09640626846521629,-0.574265431363475,-0.8563821035287472,-0.008977114233536946,-0.6803546635865833,0.7149523699557375,1
61,9,6,-0.42655977040734905,-1,1,0,-0.3811291331412592,-0.04889672087750266,-0.08981866056753454,-0.47389614949728137,-0.3978191988927149,-0.008943028472273152,0.05393604110423112,0.8558568137866863,0
62,9,7,-0.5797317583843252,-1,1,0,-0.6723803209581918,-0.033131140211682404,-0.06875311347177433,-0.4991743390043226,-0.6520486358026588,-0.007436625815549665,0.08637458629137557,0.9967612576176352,0
68,10,6,1.0042514790192256,0,0,0,0.6820433855434955,1.4586128439162507,-0.1001610727750636,1.3384013429251884,0.7922059820877085,-0.008138976778368563,-0.15396554395883078,-1.398614287508495,0
69,10,7,2.098769882945071,0,0,0,0.9436453819572527,-0.8868432601758744,-0.1001610727750636,1.784040954411088,0.8128970194353429,-0.00798281427307202,0.5832741193853603,-1.2577098436775462,0
75,11,6,1.0992141852130821,-1,0,0,0.5919086855063035,0.4711303646935762,-0.12584134129526772,0.664365854481551,0.5446461835901889,-0.008789225132056822,0.4800605665171736,-1.2577098436775462,0
76,11,7,-0.04582157632011466,-1,0,0,0.08616412863202579,-0.29510056330538753,-0.12263754080512576,0.3834805604886033,0.03598519951537901,-0.008147074620236295,0.6569980857197795,-1.1168053998465974,0
82,12,6,1.7623391494666598,-1,0,0,-0.1255496287312719,0.9145817727449567,-0.10078360112905763,0.7268178520871823,-0.051579068429554606,-0.008017790518664908,-0.5078405823640425,-1.2577098436775462,1
83,12,7,0.49919416676974004,-1,0,0,0.1039131074700594,-0.16678296126966996,-0.10078360112905763,0.84369230474915,0.1399709256727207,-0.008360487847191074,0.37242357566892165,-1.1168053998465974,0
84,13,1,0.31516099992054275,1,1,0,1.416671592849511,0.2541461886876816,-0.06960342315848575,0.5355957832280344,1.2518804931258116,-0.009929038889382832,1.025617917391875,-1.1168053998465974,1
85,13,2,-0.0932553190780159,1,1,0,1.4450467955595812,-0.26469551487844845,-0.06960342315848575,0.5399079449674709,1.2976837296474981,-0.009746934844082369,1.025617917391875,-0.9759009560156485,0
86,13,3,0.14468529814829548,1,1,0,1.3649881879133121,-0.526072246969679,-0.06960342315848575,-0.03063566172969166,1.3054397106801277,-0.009275077092363858,0.5832741193853601,-0.8349965121846997,0
87,13,4,0.42028428606066737,1,1,0,1.387456715773531,-1.552672332355667,-0.06960342315848575,0.008173793925236537,1.3950250811742804,-0.007927984555683517,0.1409303213788456,-0.6940920683537508,1
88,13,5,0.7679233758581219,1,1,0,1.510396624658181,-0.08380622092324752,-0.06960342315848575,0.45693600529141754,1.536855952565757,-0.008312383141662945,1.4679617153983895,-0.553187624522802,0
89,13,6,0.540664334514951,1,1,0,0.33016191765014785,0.04380015190950068,-0.03477598448218476,-0.1472127239268706,0.3987731071002737,-0.008881009949102875,1.3942377490639704,-0.4122831806918532,0
90,13,7,0.43427314912511705,1,1,0,0.34518919337109305,-0.6379723082368545,-0.03477598448218476,-0.3858685719198197,0.3703766162837402,-0.008042136607579195,-0.30878587326111095,-0.27137873686090436,0
91,14,1,-0.7807270837529445,0,0,0,-0.8921433705188357,-0.3280541830429667,-0.10006290184564777,-1.105107411011343,-0.8446597087432742,-0.008940394122799572,-0.7437572746341837,-0.553187624522802,0
92,14,2,-0.8744483024378751,0,0,0,-0.8758421061047853,-0.2141389723673782,-0.10006290184564777,-0.5461620324409406,-0.8304361995531422,-0.008643828829655826,-0.7437572746341837,-0.4122831806918532,0
93,14,3,-0.8406889955831209,0,0,0,-0.8619150933460673,-0.06323984313738426,-0.10006290184564777,-0.5185047192155896,-0.8117915285365928,-0.0036352502492945976,-0.7437572746341837,-0.27137873686090436,0
94,14,4,-0.7223353591581175,0,0,0,-0.40698531275359845,-0.15498841032042848,-0.08295046667455794,-0.6069783824902343,-0.3997139825326081,-0.008827485038613258,-0.7437572746341837,-0.1304742930299555,0
95,14,5,-0.6702654525366416,0,0,0,-0.2188693005012265,-0.08090203501112275,-0.07517208708675048,-0.2260211970958818,-0.2223369700567345,-0.009758897635295144,-0.7437572746341837,0.010430150800993335,0
96,14,6,-0.549182397293097,0,0,0,-0.7715777132895181,-0.05571266740595879,0.06523958643654708,-0.4533762074268595,-0.6901464188554458,-0.00984652376684593,-0.7437572746341837,0.15133459463194218,0
97,14,7,-0.5831628104882005,0,0,0,-0.7422470190596192,-0.13643718194297833,0.07326148065095266,-0.46081096904657753,-0.706668932195315,0.02199931692588582,-0.6700333082997646,0.292239038462891,0
98,15,1,-0.8029680562221104,0,0,0,1.3422011628798174,3.8018167221989727,-0.12675526590006747,0.912092111650556,1.1447115304534492,-0.008195210245359184,2.5000972440802576,-1.2577098436775462,0
99,15,2,-0.857193817172738,0,0,0,0.10162571868016593,-1.167956602649504,-0.12156077711899342,-0.03643477579307175,0.050991885943333606,-0.008848154787710541,0.9371491577905722,-1.1168053998465974,0
100,15,3,-0.7391765204870597,0,0,0,0.14748931163195259,-0.5081729786949508,-0.12156077711899342,-0.26914281449024646,0.1005594259629409,-0.009087562117980336,-0.6184265318656712,-0.9759009560156485,0
101,15,4,-0.45585624218457776,0,0,0,1.1575886195334844,0.120494367629694,-0.11544756932983263,-0.385571181455031,0.9673092541957103,-0.006099251307502496,-0.633171325132555,-0.8349965121846997,1
102,15,5,0.4471990143539226,0,0,0,-0.3077300118453129,0.0661446027027873,-0.08174197770281605,-0.2263185875606705,-0.4033014395574727,0.002617183432801691,0.8531038361693342,-0.6940920683537508,0
103,15,6,0.684127102802454,0,0,0,-0.43622914411805835,0.2860922337210542,-0.020602855189974817,-0.2107055881592626,-0.4723473553951828,-0.005266428930673415,0.8914402986632322,-0.553187624522802,0
104,15,7,0.6965065654470391,0,0,0,-0.2887359986026538,-0.11361857834771215,-0.020135374573708967,0.1577611977139635,-0.3592414039844883,-0.006853553373437707,-0.5830390280251501,-0.4122831806918532,0
105,16,1,-0.7872064224020612,0,0,0,-0.9200842589017107,0.07414593123619233,-0.09628217246326419,-0.5751576027578411,-0.8289203726412276,-0.011785998635620564,-0.7437572746341837,1.4194745891104816,0
106,16,2,-0.7961698589297549,0,0,0,-0.8926645477114696,-0.2941522577014284,-0.09628217246326419,-0.5759010789198129,-0.8047176696143244,-0.009648400279500135,-0.7290124813672999,1.5603790329414307,0
107,16,3,-0.5109557300964664,0,0,0,-0.8432106229882049,-0.10247598750119258,-0.09628217246326419,-0.23583508243390963,-0.7582070472004114,-0.009827780308502216,-0.5078405823640425,1.7012834767723795,0
108,16,4,-0.4117750872432161,0,0,0,-0.8425446743531727,-0.03105672170302184,-0.09628217246326419,-0.35984690625080656,-0.7559080430506743,-0.0087917048835566,-0.41937182276273965,1.8421879206033283,1
109,16,5,0.19062055175969608,0,0,0,-0.8373329024268332,-0.08368768272275263,-0.09628217246326419,-0.45902662625784524,1.1231109969586661,-0.008181636543259397,0.15567511464572958,1.983092364434277,0
110,16,6,0.4458426275225859,0,0,0,-0.9781955158803949,-0.09897911058659334,-0.07844838135432552,-0.4901039298282666,-0.2195074264878272,-0.008578174162141732,0.09669594157819425,2.123996808265226,0
111,16,7,-0.005448954589794627,0,0,0,-0.9634577830442462,-0.27903863713833,-0.07844838135432552,-0.484899596694464,-0.3137413328451849,-0.008659211328049091,-0.6552885150328808,2.2649012520961747,0
112,17,1,-0.575440348746942,0,0,0,0.14305930549456392,-0.7057761589199312,-0.09244764260667704,0.18586459663649774,0.09442032696968693,-0.008382360368524536,-0.7437572746341837,-1.1168053998465974,0
113,17,2,-0.6054162298280623,0,0,0,0.2890178737205466,-0.11361857834771215,-0.09244764260667704,0.20564106254494768,0.23458378875805694,-0.008630366438097175,-0.3751374429620881,-0.9759009560156485,0
114,17,3,-0.29191825911483454,0,0,0,-0.43185704655762924,-0.5723614142629333,-0.052945530532212556,0.006686841601292928,-0.33407867724670587,-0.00838198314946846,-0.22768951029324996,-0.8349965121846997,0
115,17,4,0.09705598052338354,0,0,0,-0.33002481397465355,-0.1159300732573625,-0.052945530532212556,0.09203790499565606,-0.24992501985358023,-0.008582147330068434,-0.301413476627669,-0.6940920683537508,0
116,17,5,0.5417038087102909,0,0,0,-0.26021602445018555,0.268074427245831,-0.052945530532212556,0.08326488628438874,-0.21367149287695603,-0.008503815628702604,-0.301413476627669,-0.553187624522802,0
117,17,6,0.43115733329554645,0,0,0,0.09238930065515341,0.4222926260896819,-0.04817351177540155,0.23924618506607317,0.10594061150023776,-0.008423220613000316,-0.44886140929650725,-0.4122831806918532,0
118,17,7,0.2333118519097925,0,0,0,0.2053110257258401,-0.32242361851945944,-0.04817351177540155,0.1382821222703022,0.1875678907068391,-0.008257528688598637,-0.5963093419653455,-0.27137873686090436,0
119,18,1,1.6560390731920118,0,0,0,3.251302173786413,-0.4767603555638052,-0.11773405933098469,2.1987519575589602,3.1323900962652016,-0.007750682323449332,1.9103055134049043,-1.1168053998465974,1
120,18,2,1.399154070667003,0,0,0,2.627134577030313,-2.1213000801296507,-0.11773405933098469,1.8009922109040453,2.622011175023555,-0.008468610578108486,1.7628575807360662,-0.9759009560156485,1
121,18,3,2.156635157066132,0,0,0,2.8158586293407577,-0.10455040600985313,-0.11773405933098469,1.7673870883829195,2.8326100606522235,-0.009039843907386711,1.3205137827295512,-0.8349965121846997,0
122,18,4,1.821801935947449,0,0,0,2.7751778540268313,-1.232737729219961,-0.11773405933098469,0.13664647471396427,2.813258003743447,-0.009640030345198513,0.5980189126522439,-0.6940920683537508,0
123,18,5,3.183083910269657,0,0,0,2.85002468974676,-0.2682516608932951,-0.11773405933098469,0.3104712013829721,2.8964516374256934,-0.008834479050948047,0.30312304731456763,-0.553187624522802,0
124,18,6,2.6197821360754685,0,0,0,2.9067750951669002,-0.5092990915996523,-0.11773405933098469,0.32177203904494356,2.9590300251059016,-0.008551082413212726,0.28837825404768375,-0.4122831806918532,0
125,18,7,1.7204297728866877,0,0,0,2.9886288686989086,1.8579680413835322,-0.11773405933098469,0.33173461961536566,3.048438549126998,-0.008172079296518977,0.1409303213788456,-0.27137873686090436,0
126,19,1,0.3097302789610631,1,0,0,0.27161634634426896,0.4214035895859702,-0.11862410284432935,1.0404160972068894,0.24511878579586355,-0.00386515598809454,-0.7437572746341837,1.137665701448584,0
127,19,2,0.18577698757069022,1,0,0,-0.2770384660568699,-0.23802441976709834,-0.10688150500528372,0.2625913365519879,-0.29345451600739453,-0.00803694211565946,-0.44886140929650725,1.2785701452795328,0
128,19,3,0.28339575219985125,1,0,0,-0.17190544458721274,-0.006874928802064443,-0.10688150500528372,0.5068976033759227,-0.2261265373365209,-0.008456267475880162,-0.10973116415817928,1.4194745891104816,0
129,19,4,1.5669887329510037,1,0,0,-0.048502267086887964,0.008238691761033926,-0.10688150500528372,0.5335140499745132,-0.1114542314501814,-0.00874271278565885,-0.03600719782376027,1.5603790329414307,1
130,19,5,2.2794183575404237,1,0,0,0.15394611796291738,0.4359837882468416,-0.10688150500528372,0.7947715732914054,0.08681592862824868,-0.008671520418723181,0.5832741193853603,1.7012834767723795,0
131,19,6,1.0981583822591152,1,0,0,-0.05817299943909545,-0.2962859453103364,-0.09924111657952593,0.35389020924212544,-0.09586647803932623,-0.008840700073413827,0.5095501530509413,1.8421879206033283,0
132,19,7,0.7214984680537805,1,0,0,0.09493727804136375,0.6239853742317358,-0.09913143362828081,0.39849877896043373,0.03750102642729345,-0.008563141055169256,-0.12447595742506311,1.983092364434277,0
139,20,7,0.8841629658103599,0,1,1,0.19497434473860023,1.1305583740466447,-0.12415841107671066,0.3275711531083235,0.1482827099063857,-0.00925026411756869,-0.30141347662766904,-1.2577098436775462,0
140,21,1,-0.42894816090940435,0,0,0,-0.42577664597689996,0.31009621932126924,0.13977015728049805,0.04058935458720718,-0.40959212124191824,-0.007997247539906141,-0.44886140929650725,0.7149523699557375,0
141,21,2,-0.605052197293683,0,0,0,-0.32545003639486675,-0.42821896246114804,0.13977015728049805,0.04579368772100973,-0.3129834193892277,-0.008373842020168063,-0.3972546328624139,0.8558568137866863,0
142,21,3,-0.6819749180457759,0,0,0,-0.2776465061149428,0.17247336854670292,0.13977015728049805,0.05531018259424893,-0.22711182482926548,-0.008492715494183643,-0.3913567155556604,0.9967612576176352,0
143,21,4,-0.39265495494508007,0,0,0,-0.3182693728519103,0.15884147548979066,0.22682427570699762,0.06720580118579772,-0.19553209749771128,-0.00821135645774303,-0.36923952565533463,1.137665701448584,0
144,21,5,-0.37040285266885054,0,0,0,-0.17925983386104702,0.7315587911808478,0.22682427570699762,0.24608616575621384,-0.10541618758438817,-0.00837798215390647,-0.26455149346045953,1.2785701452795328,0
145,21,6,-0.27412534704749625,0,0,0,-0.04447762098821476,0.38601993673824575,0.22682427570699762,0.47596899503789564,0.019765851557892653,-0.008163026039173151,-0.18198065116591006,1.4194745891104816,0
146,21,7,-0.28524214770438067,0,0,0,0.13807916787606211,-0.4600464692940258,0.22682427570699762,0.8920182552773173,1.0352688274132151,-0.00863659982840086,-0.04485407378389049,1.5603790329414307,0
153,22,7,1.4471902623352555,0,0,1,0.5918507769293443,0.41298737735083313,-0.12571667979759685,0.18631068233368075,0.4952807538255033,-0.008599286061444087,-0.6552885150328808,-1.2577098436775462,0
160,23,7,1.860430749695844,-1,1,1,1.5359922156742034,0.0802506485616791,-0.11301461593750889,2.7310808895307717,0.5601328818735831,-0.006768957362173433,0.8442569602092038,-1.2577098436775462,0
167,24,7,-0.030798676924438922,1,0,1,-0.11118830164535885,-0.16494561916199918,-0.08928435710327812,0.3748562370097303,-0.1627649724184907,-0.008170765213741661,-0.41937182276273965,-1.2577098436775462,0
174,25,7,0.0037960005107577537,0,0,1,0.2999046861888998,0.026671381937989205,-0.1001610727750636,0.14527079819283722,0.2532537235564718,-0.008066232247775924,-0.552074962164694,-1.2577098436775462,0
175,26,1,-0.729980439354663,1,0,0,0.02272528257308361,-0.07592343059033739,0.02241390307856366,0.02467896472101059,0.028860813029380386,-0.00787995714914229,-0.389882236228972,1.137665701448584,1
176,26,2,-0.7716933234697486,1,0,0,-0.2644433505682163,-0.15042468960137526,0.06916196470514886,0.12608911321396465,-0.232871967094541,-0.008056817231171402,0.4948053597840573,1.2785701452795328,1
177,26,3,-0.8096405520354236,1,0,0,-0.5219917465948208,-0.14692781268677602,0.16971782439829408,-0.09041114515222473,-0.46133234650193666,-0.008092597386228062,1.4974513019321571,1.4194745891104816,0
178,26,4,-0.6689123878759049,1,0,0,-0.8384621196775401,-0.13305884322887399,0.32055161393801185,-0.2715219382085562,-0.7531542908273627,-0.008860383487438256,0.7012324655204308,1.5603790329414307,0
179,26,5,-0.6078862401304391,1,0,0,-0.8615676418843113,-0.13406641793308052,0.32055161393801185,-0.4413318936029163,-0.7689946820568704,-0.009474734191609767,-0.389882236228972,1.7012834767723795,0
180,26,6,-0.7217537323857919,1,0,0,-0.7966231728244269,-0.12979904271526455,0.32055161393801185,-0.5219247095606598,-0.7076794834699248,-0.009143492572942304,-0.6213754905190481,1.8421879206033283,0
181,26,7,-0.7387801684087452,1,0,0,-0.8718464142945919,-0.09251877865962188,0.32055161393801185,-0.48876567273671745,-0.7568175391978231,-0.008198654688215484,-0.6656098703196994,1.983092364434277,0
187,27,6,2.17666223904838,0,0,0,0.19587192768147002,-0.15297326091201538,-0.12439886752303062,-0.27181932867334496,0.1864310205229031,-0.009243962704156535,-0.6626609116663227,-1.2577098436775462,0
188,27,7,0.7282290516763213,0,0,0,0.2822715245047849,-0.1027723330024298,-0.12439886752303062,-0.03881389951138151,0.2714689102813125,-0.008061170710113658,-0.5594473587981359,-1.1168053998465974,0
189,28,1,-0.7412416342228201,1,0,0,-0.901582468563206,-0.10324648580440934,-0.11447766664820531,-0.22973857790574084,-0.7892814988946608,-0.0076001564602775976,-0.44886140929650725,-0.4122831806918532,0
190,28,2,-0.8292180418292696,1,0,0,-0.7865760347219837,0.19920373275830044,-0.11447766664820531,-0.1834943606310946,-0.6696827555445987,-0.009140685073738065,-0.301413476627669,-0.27137873686090436,0
191,28,3,-0.8131724664409791,1,0,0,-0.9583618282718256,-0.1733618313971363,-0.11447766664820531,-0.661698228011359,-0.8228823287754345,-0.008535477293737185,-0.3751374429620881,-0.1304742930299555,0
192,28,4,-0.7407515203973847,1,0,0,-0.12731584032853124,0.6387433801933494,-0.07485881998905308,0.3086868585942398,0.3862170075132476,-0.0061799638176648726,-0.19819992375948228,0.010430150800993335,1
193,28,5,-0.060135072243556596,1,0,0,-0.5761073117633115,0.13104426747373912,-0.0376167357079763,-0.30066620375785097,-0.578152073846822,-0.007388997271780846,1.2025554365944808,0.15133459463194218,0
194,28,6,-0.2120234164566901,1,0,0,-0.6063355889360799,-0.12487970739472663,0.056716283265188926,-0.3430443449902438,-0.6044011432048099,-0.005583175443317231,0.7528392419545241,0.292239038462891,0
195,28,7,0.25677822745133105,1,0,0,-0.5820429409016424,0.10318779035744018,0.07072691816510732,-0.2865401566803867,-0.6853715640829148,-0.0074280641797605275,-0.3530202530617624,0.43314348229383987,0
199,29,4,-0.15321368400078839,1,-1,0,0.1068664448949851,-0.21846561668544165,-0.11335337576608594,0.8026524206083067,0.0966940673375587,-0.009281322850505445,-0.5963093419653455,-1.398614287508495,1
200,29,5,0.09186361447361764,1,-1,0,0.742528894177512,0.19232851712959684,-0.10715146625695897,-0.030189576032508623,0.6437559998475387,-0.009654584198452202,0.9813835375912237,-1.2577098436775462,0
201,29,6,-0.03429160225649507,1,-1,0,-0.25289058946483084,0.004919622147177032,-0.08235317783277642,-0.39627723818742494,-0.256645185829735,-0.00916473742650213,0.863425191456153,-1.1168053998465974,0
202,29,7,-0.33296656274104175,1,-1,0,-0.2001358758548843,-0.16227850965086416,-0.08235317783277642,-0.28237669017334455,-0.20427336602308552,-0.007628181980968364,-0.6552885150328808,-0.9759009560156485,0
203,30,1,-0.32483776551789456,0,0,0,-0.7970864414401013,-0.16109312764591527,-0.11426340469908347,-0.16356919949025028,-0.73107374547714,-0.007856897315370032,-0.7437572746341837,0.5740479261247887,0
204,30,2,-0.5050324710507109,0,0,0,-0.7426234248098549,-0.005037586694393666,-0.11426340469908347,-0.34066522127193405,-0.6823651740409509,-0.009695667064010259,-0.7437572746341837,0.7149523699557375,0
205,30,3,-0.5398624739907117,0,0,0,-0.7250481717026992,-0.20868621514461327,-0.11426340469908347,-0.5643028507930526,-0.6681416648508188,-0.009237045990808648,-0.7437572746341837,0.8558568137866863,0
206,30,4,-0.25750790148955927,0,0,0,-0.7968837614207437,-0.12304236528705585,-0.11426340469908347,-1.1867410935958471,-0.7306947887491614,-0.008468134416349178,-0.7437572746341837,0.9967612576176352,0
208,30,6,0.31909595819139225,0,0,0,-0.9796432303043782,-0.150128344100138,-0.11426340469908347,-0.46884051159587303,-0.8903366263556343,-0.009589721072563973,-0.7437572746341837,1.2785701452795328,0
209,30,7,0.719665335551842,0,0,0,-0.9598384969842885,0.07432373853693464,-0.11426340469908347,-0.5185047192155896,-0.8730561995598078,-0.006838792358899124,-0.7437572746341837,1.4194745891104816,0
210,31,1,-0.4208843523133182,0,0,0,-0.5364109822576931,0.14995111045267395,-0.07339137573969812,0.42422305416465816,-0.5147147175831959,-0.007164115967129458,-0.7437572746341837,-0.8349965121846997,1
