,股票编号,年份（年末）,交易日平均价
1415,17,6,16.338490883361725
1427,17,7,14.051609740723046
1439,18,1,30.49680743075891
1451,18,2,27.527492872820094
1463,18,3,36.28316017569923
1475,18,4,32.41284798083896
1487,18,5,48.14780465049161
1499,18,6,41.63664151450927
1511,18,7,31.241094719311903
1523,19,1,14.934924631463048
1535,19,2,13.50215779411514
1547,19,3,14.630525803505456
1559,19,4,29.467481198912083
1571,19,5,37.702402019539996
1583,19,6,24.048306191303542
1595,19,7,19.69452237501009
1607,20,1,7.684023898425
1619,20,2,7.684023898425
1631,20,3,7.684023898425
1643,20,4,7.684023898425001
1655,20,5,7.684023898425001
1667,20,6,7.684023898425
1679,20,7,21.57474915547928
1691,21,1,6.396595715475136
1703,21,2,4.361022311781714
1715,21,3,3.4718783278186365
1727,21,4,6.81610617254687
1739,21,5,7.073316560791
1751,21,6,8.186181057486138
1763,21,7,8.057682788985714
1775,22,1,15.963536994863995
1787,22,2,15.963536994863995
1799,22,3,15.963536994863995
1811,22,4,15.963536994863995
1823,22,5,15.963536994863995
1835,22,6,15.963536994863995
1847,22,7,28.082739624582473
1859,23,1,7.852365021664999
1871,23,2,7.8523650216649985
1883,23,3,7.852365021664999
1895,23,4,7.852365021664999
1907,23,5,7.852365021664999
1919,23,6,7.852365021664999
1931,23,7,32.85935555384471
1943,24,1,9.167896330242
1955,24,2,9.167896330242
1967,24,3,9.167896330242
1979,24,4,9.167896330242
1991,24,5,9.167896330242
2003,24,6,9.167896330242
2015,24,7,10.998775863836618
2027,25,1,12.680786637277002
2039,25,2,12.680786637277002
2051,25,3,12.680786637277002
2063,25,4,12.680786637277
2075,25,5,12.680786637277
2087,25,6,12.680786637277002
2099,25,7,11.398653156500002
2111,26,1,2.9169860924494544
2123,26,2,2.434829980418429
2135,26,3,1.996200799633454
2147,26,4,3.6228671384368702
2159,26,5,4.32826382230087
2171,26,6,3.012077983865682
2183,26,7,2.81527068154819
2195,27,1,5.5323860951500015
2207,27,2,5.5323860951500015
2219,27,3,5.5323860951500015
2231,27,4,5.5323860951500015
2243,27,5,5.5323860951500015
2255,27,6,36.51465172054772
2267,27,7,19.77232068840867
2279,28,1,2.786818782045454
2291,28,2,1.769906057311524
2303,28,3,1.9553756648115461
2315,28,4,2.7924839711480014
2327,28,5,10.659678661421994
2339,28,6,8.904012634911272
2351,28,7,14.322855822949144
2363,29,1,9.583789939983005
2375,29,2,9.583789939983003
2387,29,3,9.583789939983005
2399,29,4,9.583789939983005
2411,29,5,12.416620128695653
2423,29,6,10.95840140080327
2435,29,7,7.506039840021903
2447,30,1,7.6
2459,30,2,5.517142857142858
2471,30,3,5.114545454545454
2483,30,4,8.378260869565219
2495,30,5,13.980869565217393
2507,30,6,15.043181818181818
2519,30,7,19.673333333333332
2531,31,1,6.4898046767669095
2543,31,2,9.862008232450048
2555,31,3,17.387949299956542
2567,31,4,12.575290173573915
2579,31,5,16.316446435708
2591,31,6,13.253899844749093
2603,31,7,17.35236593482852
2615,32,1,4.509753393919998
2627,32,2,4.509753393919998
2639,32,3,4.509753393919998
2651,32,4,4.509753393919998
2663,32,5,4.509753393919998
2675,32,6,24.76598006346182
2687,32,7,11.595416883297332
2699,33,1,3.678971978359637
2711,33,2,3.4679002090911433
2723,33,3,5.528761956275727
2735,33,4,8.810183064867262
2747,33,5,14.447723002598872
2759,33,6,10.600492424310545
2771,33,7,5.936679224442382
2783,34,1,4.898761808978091
2795,34,2,2.9317437456971427
2807,34,3,4.617868245681546
2819,34,4,4.822857423747826
2831,34,5,9.869974932981435
2843,34,6,8.536038862352546
2855,34,7,5.9551955731542865
2867,35,1,2.239748375361091
2879,35,2,1.6957701466320951
2891,35,3,2.1457363330720907
2903,35,4,7.310601751493044
2915,35,5,11.124954712836388
2927,35,6,9.145580486526226
2939,35,7,6.919893705281143
2951,36,1,6.463393873152
2963,36,2,4.647080720641334
2975,36,3,4.078061259563
2987,36,4,5.411972888945653
2999,36,5,6.906656456666521
3011,36,6,6.669090909090911
3023,36,7,6.038095238095238
3035,37,1,11.061895706628006
3047,37,2,11.061895706628004
3059,37,3,11.061895706628006
3071,37,4,11.061895706628006
3083,37,5,52.42872946845209
3095,37,6,43.74479839600849
3107,37,7,23.062730018659526
3119,38,1,11.918514473208004
3131,38,2,11.918514473208004
3143,38,3,11.918514473208004
3155,38,4,11.918514473208004
3167,38,5,52.21098105868939
3179,38,6,40.68601758844528
3191,38,7,36.09047619047619
3203,39,1,2.943170997072001
3215,39,2,2.943170997072001
3227,39,3,2.943170997072001
3239,39,4,12.753393070084176
3251,39,5,12.452389177765564
3263,39,6,11.208112181788364
3275,39,7,10.672166478613045
3287,40,1,5.5058119917186366
3299,40,2,4.234375622831429
3311,40,3,4.711283867756864
3323,40,4,6.633298121472
3335,40,5,8.251475467063303
3347,40,6,5.980018761023999
3359,40,7,16.346548231072
3371,41,1,2.4613602732994093
3383,41,2,2.1519859092240003
3395,41,3,2.6890746259675455
3407,41,4,3.683073810717043
3419,41,5,4.727048368140695
3431,41,6,5.401355706021364
3443,41,7,10.92526964388638
3455,42,1,6.44050557288
3467,42,2,6.440505572880001
3479,42,3,6.44050557288
3491,42,4,6.44050557288
3503,42,5,18.657971138697736
3515,42,6,18.835858801203642
3527,42,7,13.681549240626188
3539,43,1,8.945068227777
3551,43,2,8.945068227777
3563,43,3,8.945068227777
3575,43,4,8.945068227777
3587,43,5,8.945068227777
3599,43,6,18.3550441852805
3611,43,7,9.515241309113142
3623,44,1,32.198409133264015
3635,44,2,32.19840913326401
3647,44,3,32.198409133264015
3659,44,4,32.198409133264015
3671,44,5,32.198409133264015
3683,44,6,32.198409133264015
3695,44,7,33.43028930017371
3707,45,1,2.5655307415560014
3719,45,2,2.565530741556001
3731,45,3,2.5655307415560014
3743,45,4,2.5655307415560014
3755,45,5,2.5655307415560014
3767,45,6,27.055900344330542
3779,45,7,12.002857953024668
3791,46,1,5.651262510524455
3803,46,2,4.2161904761904765
3815,46,3,9.99409090909091
3827,46,4,9.592608695652174
3839,46,5,15.573043478260866
3851,46,6,18.027727272727272
3863,46,7,13.62952380952381
3875,47,1,15.625917591974998
3887,47,2,15.625917591975
3899,47,3,15.625917591974998
3911,47,4,15.625917591974998
3923,47,5,15.625917591974998
3935,47,6,15.625917591974998
3947,47,7,18.930017448769288
3959,48,1,6.075564664774546
3971,48,2,3.604642507114667
3983,48,3,4.6817678133150915
3995,48,4,8.14296030001
4007,48,5,11.03209364604287
4019,48,6,8.635073768684183
4031,48,7,6.026735067970714
4043,49,1,3.2120647457145
4055,49,2,3.1633938422629524
4067,49,3,3.8515167636271355
4079,49,4,14.44444336121626
4091,49,5,19.734322576989477
4103,49,6,15.327631854920009
4115,49,7,10.830000000000005
4127,50,1,5.3322688976000014
4139,50,2,4.701015352406143
4151,50,3,11.703649146429091
4163,50,4,14.824114337449917
4175,50,5,21.345817023456085
4187,50,6,18.44440012088364
4199,50,7,11.558648146208
4211,51,1,13.233810759785998
4223,51,2,9.036106175746573
4235,51,3,9.109026138245817
4247,51,4,11.345168521145128
4259,51,5,13.318392460589996
4271,51,6,10.511669125956457
4283,51,7,7.117914016357572
4295,52,1,6.0034818653377275
4307,52,2,3.4393195634144282
4319,52,3,6.761240819171999
4331,52,4,9.862662294636914
4343,52,5,11.509559433217216
4355,52,6,11.307350474231997
4367,52,7,9.431418168857286
4379,53,1,6.942190990175999
4391,53,2,6.942190990176
4403,53,3,6.942190990175999
4415,53,4,6.942190990175999
4427,53,5,23.243409596694136
4439,53,6,21.402396005276362
4451,53,7,9.050962654297333
4463,54,1,7.09747622835491
4475,54,2,6.459739371351619
4487,54,3,5.327441501788226
4499,54,4,7.614140062375001
4511,54,5,11.879288654847391
4523,54,6,8.252553946783365
4535,54,7,10.356442121336002
4547,55,1,9.646291915820001
4559,55,2,9.646291915820001
4571,55,3,9.646291915820001
4583,55,4,9.646291915820001
4595,55,5,10.68636319447
4607,55,6,52.83666999818136
4619,55,7,44.869042101813996
4631,56,1,1.1544031600999995
4643,56,2,1.1544031600999998
4655,56,3,1.1544031600999995
4667,56,4,3.442696528545739
4679,56,5,5.786975052209043
4691,56,6,11.757285898817726
4703,56,7,7.765667700303096
4715,57,1,3.6233661762239975
4727,57,2,3.6233661762239975
4739,57,3,3.6233661762239975
4751,57,4,12.007422511654955
4763,57,5,20.249723680496867
4775,57,6,20.634370033245997
4787,57,7,13.55904761904762
4799,58,1,6.095059049569001
4811,58,2,6.095059049569001
4823,58,3,6.095059049569001
4835,58,4,6.0950590495690005
4847,58,5,6.0950590495690005
4859,58,6,6.095059049569001
4871,58,7,12.544127606209665
4883,59,1,8.252272727272727
4895,59,2,6.509047619047619
4907,59,3,8.891818181818179
4919,59,4,19.96217391304348
4931,59,5,40.747826086956515
4943,59,6,30.611363636363635
4955,59,7,16.60285714285714
4967,60,1,17.386294029749994
4979,60,2,17.386294029749994
4991,60,3,17.386294029749994
5003,60,4,17.386294029749994
5015,60,5,17.386294029749994
5027,60,6,20.883740829334087
5039,60,7,22.470034784350474
5051,61,1,6.591818181818183
5063,61,2,7.555238095238097
5075,61,3,13.401363636363635
5087,61,4,13.036956521739132
5099,61,5,17.87913043478261
5111,61,6,34.06727272727272
5123,61,7,19.672857142857147
5135,62,1,5.380601082152727
5147,62,2,5.604717687807998
5159,62,3,5.1888081782529545
5171,62,4,6.102821006233434
5183,62,5,11.43816891274487
5195,62,6,11.36388362250782
5207,62,7,10.825714285714284
5219,63,1,6.2804053486079985
5231,63,2,6.2804053486079985
5243,63,3,6.2804053486079985
5255,63,4,6.280405348607998
5267,63,5,35.165601585084346
5279,63,6,40.44888210380727
5291,63,7,39.59414344076642
5303,64,1,13.839037540504
5315,64,2,13.839037540503998
5327,64,3,13.839037540504
5339,64,4,13.839037540504
5351,64,5,28.365267796804
5363,64,6,19.90924317309682
5375,64,7,11.662629627229288
5387,65,1,16.440629492634002
5399,65,2,16.440629492634002
5411,65,3,16.440629492634002
5423,65,4,16.440629492634002
5435,65,5,16.440629492634002
5447,65,6,16.440629492634002
5459,65,7,51.74497592590238
5471,66,1,14.153965601590455
5483,66,2,6.798271554196571
5495,66,3,11.081359591223999
5507,66,4,14.001023470620522
5519,66,5,22.473656236186436
5531,66,6,17.055636719784
5543,66,7,11.680000000000003
5555,67,1,10.739823107507995
5567,67,2,10.739823107507995
5579,67,3,10.739823107507995
5591,67,4,10.739823107507993
5603,67,5,10.739823107507993
5615,67,6,51.068101614543
5627,67,7,21.70708459552781
5639,68,1,3.51271833098
5651,68,2,3.51271833098
5663,68,3,3.51271833098
5675,68,4,3.5127183309799994
5687,68,5,17.972857300799998
5699,68,6,19.541106273719592
5711,68,7,15.710088735312572
5723,69,1,5.452900598983363
5735,69,2,5.054289060405001
5747,69,3,4.139349796529454
5759,69,4,5.4295684080661735
5771,69,5,4.244147824869392
5783,69,6,4.586290940671045
5795,69,7,7.2495188206602865
5807,70,1,2.6885343785726374
5819,70,2,3.097303722241143
5831,70,3,3.398241415595454
5843,70,4,4.741441356986997
5855,70,5,8.092472703893216
5867,70,6,5.358181818181818
5879,70,7,3.4299999999999993
5891,71,1,3.111562836098999
5903,71,2,3.1115628360989995
5915,71,3,3.111562836098999
5927,71,4,3.111562836098999
5939,71,5,17.164669776689482
5951,71,6,14.467344322788
5963,71,7,14.580611784672758
5975,72,1,5.724545454545455
5987,72,2,4.448571428571428
5999,72,3,7.177727272727274
6011,72,4,10.22
6023,72,5,19.69
6035,72,6,21.51772727272727
6047,72,7,18.402380952380952
6059,73,1,1.148643709590909
6071,73,2,1.060810405467429
6083,73,3,1.046025009865
6095,73,4,4.857534836169217
6107,73,5,4.562771548900218
6119,73,6,3.3890454731467723
6131,73,7,3.3151031049258575
6143,74,1,3.1247727272727275
6155,74,2,2.0600000000000005
6167,74,3,2.64
6179,74,4,4.202608695652175
6191,74,5,4.909782608695651
6203,74,6,3.37
6215,74,7,2.4333333333333336
6227,75,1,4.7089859054700005
6239,75,2,4.7089859054700005
6251,75,3,4.7089859054700005
6263,75,4,4.7089859054700005
6275,75,5,28.378510640897478
6287,75,6,24.753992232812497
6299,75,7,27.079383515177
6311,76,1,7.796818181818182
6323,76,2,6.659999999999998
6335,76,3,6.820454545454546
6347,76,4,16.65826086956522
6359,76,5,25.320869565217397
6371,76,6,28.829090909090915
6383,76,7,29.015714285714278
6395,77,1,6.827031495512
6407,77,2,6.726397171419431
6419,77,3,6.910286859543273
6431,77,4,8.516984300677565
6443,77,5,19.115033954036868
6455,77,6,13.590052124858182
6467,77,7,8.940884128402999
6479,78,1,6.094790540740004
6491,78,2,6.094790540740003
6503,78,3,6.094790540740004
6515,78,4,12.351981456390003
6527,78,5,12.92921453242139
6539,78,6,14.238941532913184
6551,78,7,11.569027047083333
6563,79,1,4.226530846603998
6575,79,2,4.226530846603998
6587,79,3,4.226530846603998
6599,79,4,4.226530846603998
6611,79,5,22.539556668924522
6623,79,6,17.003627380158544
6635,79,7,9.968385341205238
6647,80,1,4.841382429832726
6659,80,2,5.100870450645714
6671,80,3,6.0042122880293185
6683,80,4,9.451500858468997
6695,80,5,10.612105302562954
6707,80,6,9.163133131067003
6719,80,7,7.711904761904763
6731,81,1,7.505732171616002
6743,81,2,6.417544022233143
6755,81,3,5.953727130168
6767,81,4,7.846136502978781
6779,81,5,12.473809543237566
6791,81,6,10.832625152063999
6803,81,7,16.214219689187427
6815,82,1,9.821104090656005
6827,82,2,9.821104090656004
6839,82,3,9.821104090656005
6851,82,4,9.821104090656005
6863,82,5,9.821104090656005
6875,82,6,53.891418638952956
6887,82,7,37.546586469133864
6899,83,1,14.128138264698181
6911,83,2,11.512758581979998
6923,83,3,7.1428455859963185
6935,83,4,7.864203173229913
6947,83,5,6.077523022064696
6959,83,6,6.497328982404365
6971,83,7,6.537605110428953
6983,84,1,3.091050904948364
6995,84,2,2.7897756716107147
7007,84,3,4.833909823647272
7019,84,4,7.36657490861174
7031,84,5,14.061151654834868
7043,84,6,9.146923565104409
7055,84,7,8.560210806525001
7067,85,1,1.6297358765402272
7079,85,2,2.9932441361890474
7091,85,3,5.053424441492499
7103,85,4,5.566649483950955
7115,85,5,6.525392906672349
7127,85,6,5.625483806105365
7139,85,7,4.406939968404048
7151,86,1,6.660849161018181
7163,86,2,4.481984360746666
7175,86,3,3.545528683278319
7187,86,4,4.600898624019826
7199,86,5,8.639529349534959
7211,86,6,11.535827212124728
7223,86,7,7.782507945946191
7235,87,1,20.64102531758401
7247,87,2,20.641025317584006
7259,87,3,20.64102531758401
7271,87,4,20.64102531758401
7283,87,5,20.64102531758401
7295,87,6,20.64102531758401
7307,87,7,24.318724004384006
7319,88,1,4.679087199386364
7331,88,2,5.064733568628001
7343,88,3,5.128517140754364
7355,88,4,8.236073107113738
7367,88,5,11.82740907234052
7379,88,6,11.401222284262365
7391,88,7,15.149438852292043
7403,89,1,6.8877965768400005
7415,89,2,6.8877965768400005
7427,89,3,6.8877965768400005
7439,89,4,6.8877965768400005
7451,89,5,6.8877965768400005
7463,89,6,6.8877965768400005
7475,89,7,12.233161341376666
7487,90,1,2.4056936349783635
7499,90,2,1.903954483842857
7511,90,3,2.311687158855
7523,90,4,2.7837962215033043
7535,90,5,4.7794555283030435
7547,90,6,4.138636363636365
7559,90,7,2.8314285714285714
7571,91,1,11.656515379808683
7583,91,2,11.183774108807999
7595,91,3,10.442473748924728
7607,91,4,11.891243972747993
7619,91,5,17.453008383832174
7631,91,6,14.23857287265818
7643,91,7,10.437483469152
7655,92,1,5.8283374046399965
7667,92,2,5.8283374046399965
7679,92,3,5.8283374046399965
7691,92,4,5.8283374046399965
7703,92,5,18.801964708875396
7715,92,6,18.082485421239042
7727,92,7,12.612706395100004
7739,93,1,2.2448867219304547
7751,93,2,3.068941166165285
7763,93,3,5.192798841569454
7775,93,4,7.630313368941393
7787,93,5,12.380808036845565
7799,93,6,12.3219962454435
7811,93,7,12.162549298090713
7823,94,1,10.524170210269046
7835,94,2,9.34731296216
7847,94,3,16.00683422335346
7859,94,4,22.4131846191263
7871,94,5,28.814335852667135
7883,94,6,20.622809710537364
7895,94,7,14.275367222962142
7907,95,1,6.503874921326727
7919,95,2,5.881953568266285
7931,95,3,9.485718420205636
7943,95,4,19.633993435267822
7955,95,5,30.58101178746478
7967,95,6,23.570809303568865
7979,95,7,19.000031405846567
7991,96,1,4.432289760546909
8003,96,2,2.412899613231428
8015,96,3,2.709539176358
8027,96,4,4.146370216964868
8039,96,5,7.213960283044174
8051,96,6,6.049621984839999
8063,96,7,3.9477226421038574
8075,97,1,3.597051459641819
8087,97,2,2.9128993590228576
8099,97,3,10.193871766089545
8111,97,4,18.019046646188468
8123,97,5,28.21423220087861
8135,97,6,19.604440731159272
8147,97,7,19.25101081374429
8159,98,1,11.955718820015996
8171,98,2,11.955718820015996
8183,98,3,11.955718820015996
8195,98,4,11.955718820015996
8207,98,5,11.955718820015996
8219,98,6,33.164155265148366
8231,98,7,17.324473918171
8243,99,1,5.853110944045454
8255,99,2,5.265823477409953
8267,99,3,10.115357220183274
8279,99,4,13.10835132084365
8291,99,5,17.977461398375223
8303,99,6,16.019283540917726
8315,99,7,12.336703290134096
8327,100,1,5.459339830659726
8339,100,2,3.17593994176
8351,100,3,2.8687218877346363
8363,100,4,5.670735698999869
8375,100,5,6.867173913043479
8387,100,6,6.098181818181818
8399,100,7,4.989999999999999
8411,101,1,5.764125726182728
8423,101,2,3.5209689928721906
8435,101,3,5.359340970945818
8447,101,4,12.392530886163525
8459,101,5,17.506972864293477
8471,101,6,12.975964012808726
8483,101,7,12.346569217757619
8495,102,1,19.96607479077899
8507,102,2,19.966074790778993
8519,102,3,19.96607479077899
8531,102,4,19.96607479077899
8543,102,5,19.96607479077899
8555,102,6,19.96607479077899
8567,102,7,31.504314041658198
8579,103,1,3.622156590580999
8591,103,2,3.7424803652022858
8603,103,3,3.394011757079546
8615,103,4,5.250790170443478
8627,103,5,4.692801422342738
8639,103,6,5.549699541715636
8651,103,7,7.5051596904802365
8663,104,1,10.510258215056137
8675,104,2,7.728653823272095
8687,104,3,5.202486653949
8699,104,4,5.705325328350523
8711,104,5,4.708260869565217
8723,104,6,5.060909090909091
8735,104,7,6.014285714285714
8747,105,1,11.18970381534891
8759,105,2,9.503595945439427
8771,105,3,16.00793850888
8783,105,4,17.740310490702004
8795,105,5,27.54456259327557
8807,105,6,14.506003259518094
8819,105,7,8.904925828978284
8831,106,1,7.180848751468
8843,106,2,4.817069822660667
8855,106,3,5.258508729171728
8867,106,4,7.390415559904693
8879,106,5,12.570869565217391
8891,106,6,11.541363636363636
8903,106,7,6.714285714285715
8915,107,1,5.307689355810546
8927,107,2,5.17813246974819
8939,107,3,6.260943292311182
8951,107,4,8.59957027325861
8963,107,5,13.089289868358
8975,107,6,12.678051975214048
8987,107,7,10.069195375116191
8999,108,1,3.4314174654136367
9011,108,2,2.3521686680514287
9023,108,3,5.953367631266727
9035,108,4,5.302591712816087
9047,108,5,7.7768767741030445
9059,108,6,5.009394748815999
9071,108,7,4.24879669271619
9083,109,1,5.722684202920728
9095,109,2,4.122244314407619
9107,109,3,4.717999476284363
9119,109,4,6.701615574371479
9131,109,5,8.62913043478261
9143,109,6,7.760909090909092
9155,109,7,4.887619047619047
9167,110,1,7.873608163806001
9179,110,2,7.873608163806001
9191,110,3,7.873608163806001
9203,110,4,7.873608163806002
9215,110,5,7.873608163806002
9227,110,6,65.20976458290001
9239,110,7,21.311159779308145
9251,111,1,9.355062207929997
9263,111,2,9.355062207929999
9275,111,3,9.355062207929997
9287,111,4,9.355062207929997
9299,111,5,9.355062207929997
9311,111,6,9.355062207929997
9323,111,7,12.669673016512615
9335,112,1,3.373433447534045
9347,112,2,3.1118508911184763
9359,112,3,2.640379321732909
9371,112,4,6.2320051681159985
9383,112,5,8.814865844652
9395,112,6,13.523608419848
9407,112,7,10.430057110105954
9419,113,1,5.225048603485455
9431,113,2,3.409206848572286
9443,113,3,3.884652422387728
9455,113,4,4.671290299859043
9467,113,5,6.527280123163825
9479,113,6,5.241865568583273
9491,113,7,15.16623168520762
9503,114,1,6.662914101479999
9515,114,2,5.047758017748001
9527,114,3,5.260152696211636
9539,114,4,6.807996860209999
9551,114,5,9.593264048732001
9563,114,6,11.883897425904639
9575,114,7,11.541428571428568
9587,115,1,1.632564311931
9599,115,2,1.2562746390005715
9611,115,3,1.80674461036
9623,115,4,3.1318339550646956
9635,115,5,6.06715580746435
9647,115,6,5.619086037601499
9659,115,7,4.553024936270238
9671,116,1,18.691538774505545
9683,116,2,18.82531166371172
9695,116,3,11.357272727272731
9707,116,4,17.759565217391305
9719,116,5,13.245652173913046
9731,116,6,13.817727272727273
9743,116,7,12.464285714285714
9755,117,1,3.934707716687681
9767,117,2,3.047801372547715
9779,117,3,4.150291895214001
9791,117,4,10.138504695996872
9803,117,5,25.402391460115904
9815,117,6,20.375939640076368
9827,117,7,13.317142857142859
9839,118,1,3.147646407904
9851,118,2,3.1476464079039994
9863,118,3,3.147646407904
9875,118,4,8.732283904725218
9887,118,5,18.480740909372916
9899,118,6,12.723342267443497
9911,118,7,12.276514453054668
9923,119,1,6.836168525821001
9935,119,2,10.481428571428575
9947,119,3,9.545
9959,119,4,11.550000000000004
9971,119,5,18.504347826086953
9983,119,6,17.44681818181818
9995,119,7,9.14095238095238
10007,120,1,1.2457489455425454
10019,120,2,1.0577994269965714
10031,120,3,1.5913119535101818
10043,120,4,2.3375093727099134
10055,120,5,13.270110595547479
10067,120,6,8.467089169763636
10079,120,7,10.86822077541138
10091,121,1,7.506363636363637
10103,121,2,5.242857142857143
10115,121,3,6.040000000000001
10127,121,4,8.401304347826088
10139,121,5,12.684347826086958
10151,121,6,16.970000000000006
10163,121,7,17.27
10175,122,1,12.231985655421
10187,122,2,8.457959623021335
10199,122,3,10.511274107762999
10211,122,4,23.563670168499737
10223,122,5,17.852593772802
10235,122,6,13.574260842284728
10247,122,7,7.969523809523811
10259,123,1,4.849425714731996
10271,123,2,4.849425714731997
10283,123,3,4.849425714731996
10295,123,4,8.338101869217391
10307,123,5,20.804578378667998
10319,123,6,28.52859755468555
10331,123,7,27.00047331137434
10343,124,1,7.941266472796365
10355,124,2,7.5341873348514286
10367,124,3,6.232783605567272
10379,124,4,13.94173913043478
10391,124,5,13.58565217391304
10403,124,6,12.389545454545452
10415,124,7,8.258095238095237
10427,125,1,6.308239679703001
10439,125,2,5.210071898697858
10451,125,3,7.745635560436364
10463,125,4,17.22917534931196
10475,125,5,24.13910203611665
10487,125,6,22.75310781420109
10499,125,7,10.383841516640762
10511,126,1,9.374157409429547
10523,126,2,5.600497231855714
10535,126,3,6.40310393926909
10547,126,4,8.616749095797914
10559,126,5,8.542305341922436
10571,126,6,7.401724416724545
10583,126,7,6.0769944771596185
10595,127,1,21.466111617223007
10607,127,2,21.466111617223007
10619,127,3,21.466111617223007
10631,127,4,21.46611161722301
10643,127,5,21.46611161722301
10655,127,6,21.466111617223007
10667,127,7,26.83937074575096
10679,128,1,1.3368504864599997
10691,128,2,1.2372974816285716
10703,128,3,1.214386097264182
10715,128,4,3.6612162854399135
10727,128,5,3.2566593188250006
10739,128,6,2.9685260698872726
10751,128,7,3.4655453603969524
10763,129,1,13.73782339270527
10775,129,2,11.895262477075997
10787,129,3,10.684487555125683
10799,129,4,14.54889900904183
10811,129,5,17.37622052025878
10823,129,6,16.944421539522686
10835,129,7,13.06746393887919
10847,130,1,35.38585737750201
10859,130,2,35.385857377502006
10871,130,3,35.38585737750201
10883,130,4,35.38585737750201
10895,130,5,35.38585737750201
10907,130,6,35.38585737750201
10919,130,7,41.16601140959048
10931,131,1,4.218140390514
10943,131,2,4.286011621075429
10955,131,3,7.629675854425
10967,131,4,7.927257952611524
10979,131,5,8.553988202284867
10991,131,6,9.458192376865908
11003,131,7,7.451596404117047
11015,132,1,8.272009907755999
11027,132,2,8.272009907755999
11039,132,3,8.272009907755999
11051,132,4,8.272009907755999
11063,132,5,8.272009907755999
11075,132,6,17.81187683069454
11087,132,7,11.642776540241524
11099,133,1,3.2833853639849995
11111,133,2,2.0334681815904765
11123,133,3,2.7120003140903637
11135,133,4,3.854212515459913
11147,133,5,9.970420091282607
11159,133,6,15.917166305454543
11171,133,7,15.980000000000002
11183,134,1,10.359282523743046
11195,134,2,11.317082337999999
11207,134,3,18.48911928787064
11219,134,4,14.9257018334907
