,股票编号,年份（年末）,每股资本公积(元/股),每股未分配利润(元/股),每股资本公积(元/股)+每股未分配利润(元/股),每股现金流量净额(元/股),实收资本(或股本),每股收益(期末摊薄，元/股),每股净资产(元/股),营业总收入同必增长(%),近两年送转比例,上市时间
32,5,5,,,0.0,,51000000.0,,,-3.9735,0.0,-1
33,5,6,,,0.0,,51000000.0,,5.2574,5.7265,0.0,0
34,5,7,3.6358,3.1277,6.7635000000000005,1.59,68000000.0,0.778,7.8629,11.5584,0.125,1
35,6,1,5.6187,1.3232,6.9418999999999995,5.1613,80000000.0,0.4449,8.1001,-1.6575,0.6,1
36,6,2,3.4125,1.073,4.4855,-0.0438,120000000.0,0.2861,5.6195,19.8883,0.7749999999999999,2
37,6,3,1.4514,0.6501,2.1015,-0.2944,216000000.0,0.1507,3.1893,14.9542,0.5,3
38,6,4,1.4514,0.7559,2.2073,-0.9287,216000000.0,0.1751,3.3144,24.9189,0.675,4
39,6,5,0.1359,0.3799,0.5158,0.1989,478475500.0,0.0964,1.5481,7.5043,0.6749875000000001,5
40,6,6,0.1329,0.3843,0.5172,-0.3862,478265500.0,0.0617,1.5594,-17.9024,0.0249875,6
41,6,7,0.1199,0.5029,0.6228,0.2625,477407350.0,0.129,1.6855,88.4653,0.05,7
42,7,1,,,0.0,,,,,,0.0,-5
43,7,2,,,0.0,,,,,,0.0,-4
44,7,3,,,0.0,,90000000.0,,,,0.0,-3
45,7,4,,,0.0,,90000000.0,,,5.8265,0.0,-2
46,7,5,,,0.0,,90000000.0,,,1.1712,0.0,-1
47,7,6,1.6808,1.7916,3.4724000000000004,-0.0435,90000000.0,0.8335,4.7287,9.0161,0.3335,0
48,7,7,1.8208,1.1136,2.9344,0.0541,180000000.0,0.3622,4.0953,9.7016,0.367,1
49,8,1,,,0.0,,,,,,0.0,-3
50,8,2,,,0.0,,150000000.0,,,,0.0,-2
51,8,3,,,0.0,,150000000.0,,,17.1938,0.0,-1
52,8,4,,,0.0,,150000000.0,,,2.4023,0.0,0
53,8,5,3.2847,2.2464,5.5311,3.0017,200100000.0,0.5394,6.7854,43.8462,0.45,1
54,8,6,1.8565,1.5801,3.4366000000000003,-1.0964,300150000.0,0.3919,4.6488,20.9437,0.525,2
55,8,7,1.8565,1.8621,3.7186000000000003,-0.5805,300150000.0,0.4866,4.9854,58.898,0.1,3
56,9,1,0.0489,0.0767,0.1256,0.0215,456192000.0,0.1091,1.1705,-4.4405,0.0,11
57,9,2,0.0608,0.1383,0.1991,0.0594,456192000.0,0.0641,1.2465,-8.5862,0.01,12
58,9,3,0.0769,0.1889,0.26580000000000004,-0.0866,456192000.0,0.0741,1.3154,8.2844,0.0215,13
59,9,4,0.077,0.2612,0.3382,0.2869,456192000.0,0.1065,1.399,20.4032,0.0275,14
60,9,5,0.1064,0.2626,0.369,-0.1233,456192000.0,0.031,1.4231,-4.4766,0.021500000000000002,15
61,9,6,1.8885,0.309,2.1975000000000002,0.1325,540742345.0,0.0985,3.2382,-3.3742,0.2705,16
62,9,7,0.9289,0.2627,1.1916,0.1591,811113518.0,0.0815,2.2319,45.3458,0.28150000000000003,17
63,10,1,,,0.0,,,,,,0.0,-5
64,10,2,,,0.0,,,,,,0.0,-4
65,10,3,,,0.0,,156000000.0,,4.6308,,0.0,-3
66,10,4,,,0.0,,360000000.0,,,27.0865,0.0,-2
67,10,5,,,0.0,,360000000.0,,,19.662,0.0,-1
68,10,6,2.5651,3.3043,5.869400000000001,2.676,408000000.0,1.3173,7.9486,22.6304,0.2,0
69,10,7,2.5651,4.2078,6.7729,-1.2813,408000000.0,1.617,8.0305,27.680999999999997,0.45,1
70,11,1,,,0.0,,,,,,0.0,-4
71,11,2,,,0.0,,58800000.0,,3.3996,,0.0,-3
72,11,3,,,0.0,,58800000.0,,3.8433,14.5335,0.0,-2
73,11,4,,,0.0,,58800000.0,,,10.6513,0.0,-1
74,11,5,,,0.0,,58800000.0,,,-1.8812,0.14,0
75,11,6,3.3167,2.2414,5.5581,1.0099,78400000.0,0.8640000000000001,6.9687,1.6001,0.41500000000000004,1
76,11,7,2.0553,1.7561,3.8114,-0.2829,119520000.0,0.6751,4.9553,22.3685,0.47500000000000003,2
77,12,1,,,0.0,,,,,,0.0,-4
78,12,2,,,0.0,,,,,,0.0,-3
79,12,3,,,0.0,,162284800.0,,,,0.0,-2
80,12,4,,,0.0,,162284800.0,,,15.46,0.0,-1
81,12,5,,,0.0,,360000000.0,,,11.5669,0.0,0
82,12,6,1.3679,1.7123,3.0801999999999996,1.7581,400010000.0,0.9059999999999999,4.6087,26.5498,0.08,1
83,12,7,1.3679,2.5048,3.8727,-0.0664,400010000.0,0.9846,5.3669,15.4663,0.3785,2
84,13,1,6.6198,1.7868,8.4066,0.6438,800200000.0,0.7774,9.7681,-35.2637,0.6,2
85,13,2,6.6209,1.8837,8.5046,-0.2316,800200000.0,0.7803,9.9494,-29.3741,0.6,3
86,13,3,6.596,1.6321,8.2281,-0.6726,800200000.0,0.3966,9.9801,-14.1133,0.44999999999999996,4
87,13,4,6.596,1.7097,8.3057,-2.4047,800200000.0,0.4227,10.3347,29.4543,0.3,5
88,13,5,6.596,2.1343,8.7303,0.0736,800200000.0,0.7245,10.8961,17.0221,0.75,6
89,13,6,3.3826,1.2715,4.6541,0.2889,1247201704.0,0.3182,6.3913,-1.3684,0.725,7
90,13,7,3.5776,1.1284,4.7059999999999995,-0.8614,1247201704.0,0.1577,6.2789,25.7624,0.1475,8
91,14,1,0.2353,0.1973,0.4326,-0.3385,409260000.0,-0.326,1.4695,-3.2889999999999997,0.0,6
92,14,2,0.2418,0.2471,0.4889,-0.1463,409260000.0,0.0499,1.5258,6.3025,0.0,7
93,14,3,0.2213,0.3157,0.5369999999999999,0.1083,409260000.0,0.0685,1.5996,168.2897,0.0,8
94,14,4,1.8937,0.2145,2.1082,-0.0465,628893943.0,0.009000000000000001,3.2307,0.3627,0.0,9
95,14,5,2.3076,0.4503,2.7579,0.0785,728727553.0,0.2652,3.9328,-29.761,0.0,10
96,14,6,0.5866,0.2624,0.849,0.121,2530877229.0,0.1123,2.0811,-32.595,0.0,11
97,14,7,0.6308,0.3195,0.9503,-0.0152,2633836290.0,0.1073,2.0157,997.3616,0.025,12
98,15,1,6.4878,1.6616,8.1494,6.6295,66670000.0,1.0306,9.3439,20.8117,1.1,1
99,15,2,2.7439,1.1209,3.8648,-1.7556,133340000.0,0.3927,5.0147,-0.3058,0.5700000000000001,2
100,15,3,2.7439,1.2793,4.0232,-0.6424,133340000.0,0.2362,5.2109,-8.0487,0.042499999999999996,3
101,15,4,6.5931,0.9187,7.5118,0.4183,211801535.0,0.1579,8.6417,88.5991,0.0375,4
102,15,5,1.8898,0.5612,2.451,0.3266,644404605.0,0.265,3.2165,370.5056,0.5415,5
103,15,6,1.506,0.5012,2.0072,0.6977,1429110371.0,0.2755,2.9432,115.5342,0.5545,6
104,15,7,1.551,0.9656,2.5166,0.0233,1435110371.0,0.5233,3.3909,64.2035,0.05449999999999999,7
105,16,1,0.0176,0.3185,0.3361,0.3401,457784742.0,0.0304,1.5318,-95.3214,0.0,20
106,16,2,0.0835,0.3473,0.4308,-0.2813,457784742.0,0.0299,1.6276,-26.1873,0.005,21
107,16,3,0.0172,0.5844,0.6016,0.0421,457784742.0,0.2586,1.8117,-31.9888,0.08,22
108,16,4,0.0172,0.5867,0.6039,0.1626,457784742.0,0.1752,1.8208,1.5199,0.11,23
109,16,5,0.0128,0.6091,0.6219,0.0738,457784742.0,0.1085,9.2584,21.2507,0.30500000000000005,24
110,16,6,0.0119,0.1235,0.1354,0.048,686677113.0,0.0876,3.944,8.4259,0.28500000000000003,25
111,16,7,0.0114,0.1749,0.1863,-0.2558,686677113.0,0.0911,3.571,5.805,0.03,26
112,17,1,2.8602,1.1477,4.007899999999999,-0.9758,507000000.0,0.5422,5.1866,14.7589,0.0,2
113,17,2,2.861,1.651,4.5120000000000005,0.0233,507000000.0,0.5555,5.7414,6.7379,0.125,3
114,17,3,0.9295,1.0928,2.0223,-0.7507,1014000000.0,0.4217,3.4905,14.7711,0.175,4
115,17,4,0.9486,1.4254,2.374,0.0194,1014000000.0,0.4791,3.8236,8.2974,0.15000000000000002,5
116,17,5,0.9603,1.6548,2.6151,0.6673,1014000000.0,0.4732,3.9671,10.8308,0.15000000000000002,6
117,17,6,1.8511,1.9818,3.8329,0.9275,1075247700.0,0.5781,5.2322,13.4374,0.1,7
118,17,7,1.8747,2.3482,4.2229,-0.32899999999999996,1075247700.0,0.5102,5.5553,18.7962,0.05,8
119,18,1,12.0198,2.7231,14.7429,-0.5894,182454992.0,1.8959,17.2116,35.1886,0.9,2
120,18,2,9.2711,3.3161,12.587200000000001,-3.3641,182454992.0,1.6284,15.1914,11.9694,0.8500000000000001,3
121,18,3,9.2711,3.9679,13.239,0.0386,182454992.0,1.6058,16.025,-6.5054,0.7,4
122,18,4,9.2711,3.8274,13.098500000000001,-1.8649,182454992.0,0.5091,15.9484,-25.9166,0.45499999999999996,5
123,18,5,9.2711,4.0859,13.357,-0.2376,182454992.0,0.626,16.2777,0.1365,0.355,6
124,18,6,9.2711,4.2819,13.553,-0.6443,182454992.0,0.6336,16.5254,9.3021,0.35,7
125,18,7,9.2711,4.5646,13.835700000000001,3.3498,182454992.0,0.6403,16.8793,21.5598,0.3,8
126,19,1,0.7354,3.7165,4.4519,0.9259999999999999,171031500.0,1.1169,5.7831,160.8541,0.0,18
127,19,2,,2.557,2.557,-0.1866,321744887.0,0.5938,3.6513,25.9304,0.1,19
128,19,3,0.0622,2.8579,2.9200999999999997,0.2034,321744887.0,0.7581,3.9178,12.3686,0.21500000000000002,20
129,19,4,,3.3463,3.3463,0.2289,321744887.0,0.7759999999999999,4.3717,3.1044,0.24,21
130,19,5,0.0769,3.9686,4.0455,0.9506,321744887.0,0.9517,5.1565,5.4069,0.45,22
131,19,6,-0.0877,3.4006,3.3129,-0.2849,419807414.0,0.6552,4.4334,-0.0647,0.42500000000000004,23
132,19,7,-0.0255,3.8672,3.8417,1.2678,421215168.0,0.6852,4.9613,8.9121,0.21000000000000002,24
133,20,1,,,0.0,,,,,,0.0,-5
134,20,2,,,0.0,,,,,,0.0,-4
135,20,3,,,0.0,,,,,,0.0,-3
136,20,4,,,0.0,,75000000.0,,3.4,,0.0,-2
137,20,5,,,0.0,,75000000.0,,,49.9976,0.0,-1
138,20,6,,,0.0,,75000000.0,,4.4381,56.8004,0.0,0
139,20,7,2.5594,1.6278,4.1872,2.1225,100000000.0,0.6375,5.3998,-13.3108,0.15,1
140,21,1,0.9647,1.0786,2.0433,0.7382,3487458977.0,0.4445,3.1916,27.2142,0.1,15
141,21,2,1.0033,1.3865,2.3898,-0.5075,3487458977.0,0.44799999999999995,3.574,15.0344,0.11750000000000001,16
142,21,3,0.8535,1.7014,2.5549,0.506,3487458977.0,0.4544,3.9139,11.1898,0.11950000000000001,17
143,21,4,1.5682,0.8464,2.4146,0.483,4604777412.0,0.4624,4.0389,20.2895,0.127,18
144,21,5,1.6315,1.2632,2.8947000000000003,1.4493,4604777412.0,0.5827,4.3956,14.9005,0.16249999999999998,19
145,21,6,1.6473,1.7129,3.3602,0.8663,4604777412.0,0.7373,4.8911,21.8526,0.1905,20
146,21,7,1.6540000000000001,2.3367,3.9907000000000004,-0.5612,4604777412.0,1.0171,8.9107,6.5363,0.23700000000000002,21
147,22,1,,,0.0,,,,,,0.0,-5
148,22,2,,,0.0,,,,,,0.0,-4
149,22,3,,,0.0,,,,,,0.0,-3
150,22,4,,,0.0,,60000000.0,,3.54,,0.0,-2
151,22,5,,,0.0,,60000000.0,,,11.2344,0.0,-1
152,22,6,,,0.0,,60000000.0,,4.9223,-3.1791,0.0,0
153,22,7,3.8475,1.7104,5.5579,0.9118,80000000.0,0.5425,6.7733,7.7431,0.03,1
154,23,1,,,0.0,,,,,,0.0,-5
155,23,2,,,0.0,,,,,,0.0,-4
156,23,3,,,0.0,,,,,,0.0,-3
157,23,4,,,0.0,,180504900.0,,,,0.0,-2
158,23,5,,,0.0,,180504900.0,,,-5.2477,0.0,-1
159,23,6,,,0.0,,180504900.0,,7.8297,13.7425,0.0,0
160,23,7,4.5207,4.298,8.8187,0.3504,243027900.0,2.2539,7.03,66.9395,0.5385,1
161,24,1,,,0.0,,,,,,0.0,-5
162,24,2,,,0.0,,,,,,0.0,-4
163,24,3,,,0.0,,,,,,0.0,-3
164,24,4,,,0.0,,480000000.0,,2.42,,0.0,-2
165,24,5,,,0.0,,480000000.0,,,-2.3202,0.0,-1
166,24,6,,,0.0,,480000000.0,,2.9130000000000003,18.2876,0.0,0
167,24,7,1.3172,1.8126,3.1298,-0.0633,547600000.0,0.6693,4.1686,21.6023,0.11,1
168,25,1,,,0.0,,,,,,0.0,-5
169,25,2,,,0.0,,,,,,0.0,-4
170,25,3,,,0.0,,,,,,0.0,-3
171,25,4,,,0.0,,180000000.0,,,,0.0,-2
172,25,5,,,0.0,,180000000.0,,,15.6827,0.0,-1
173,25,6,,,0.0,,180000000.0,,6.6370000000000005,-0.1426,0.0,0
174,25,7,2.2596,2.29,4.5496,0.26,408000000.0,0.5149,5.8153,24.9831,0.065,1
175,26,1,3.0084,0.5839,3.5923,0.0869,1981220000.0,0.4338,4.9271,31.0076,0.12,18
176,26,2,1.8,0.8005,2.6005000000000003,-0.0388,2581220000.0,0.502,3.8911,25.2876,0.42,19
177,26,3,0.9756,0.7354,1.711,-0.0329,3871830000.0,0.3564,2.9868,24.1304,0.76,20
178,26,4,0.1428,0.4752,0.618,-0.0095,5807745000.0,0.2346,1.8317,-0.7013,0.49,21
179,26,5,0.1429,0.3953,0.5382,-0.0112,5807745000.0,0.1204,1.7690000000000001,-20.5706,0.12,22
180,26,6,0.3531,0.4094,0.7625,-0.004,5807745000.0,0.0662,2.0117,-9.8576,0.041499999999999995,23
181,26,7,0.0298,0.4729,0.5027,0.0589,5807745000.0,0.0885,1.8172,20.7003,0.0265,24
182,27,1,,,0.0,,,,,,0.0,-4
183,27,2,,,0.0,,,,,,0.0,-3
184,27,3,,,0.0,,72684800.0,,,,0.0,-2
185,27,4,,,0.0,,72684800.0,,,25.605999999999998,0.0,-1
186,27,5,,,0.0,,72684800.0,,,-2.0508,0.0,0
187,27,6,1.6317,2.5586,4.190300000000001,-0.0431,96913800.0,0.2344,5.5508,-13.107000000000001,0.0275,1
188,27,7,1.6317,2.8569999999999998,4.4887,0.0416,96913800.0,0.3911,5.8874,25.1468,0.0625,2
189,28,1,0.0032,0.3968,0.39999999999999997,0.0408,224250000.0,0.2627,1.6887,40.0569,0.1,7
190,28,2,0.2708,0.5264,0.7971999999999999,0.5511,224250000.0,0.2938,2.1621,-9.7668,0.15000000000000002,8
191,28,3,0.0028,0.2011,0.2039,-0.0775,224250000.0,-0.0278,1.5557,9.8068,0.125,9
192,28,4,1.8688,1.2053,3.0741,1.2927,732748260.0,0.6248,6.3416,85.9887,0.185,10
193,28,5,1.0862,0.4379,1.5241,0.4361,1210741353.0,0.215,2.5244,46.8862,0.66,11
194,28,6,1.0238,0.3959,1.4197,0.0043,2421482706.0,0.1865,2.4205,105.29,0.5075,12
195,28,7,0.9399,0.5637,1.5036,0.3891,2601305797.0,0.2245,2.1,45.6227,0.1325,13
196,29,1,,,0.0,,156000000.0,,3.9,,0.0,-3
197,29,2,,,0.0,,156000000.0,,,14.9323,0.0,-2
198,29,3,,,0.0,,238680000.0,,,36.7036,0.0,-1
199,29,4,1.0466,2.8363,3.8829000000000002,-0.1536,238680000.0,0.9570000000000001,5.1956,-14.3153,0.05,0
200,29,5,3.7027,2.3756,6.0783000000000005,0.5395,318280000.0,0.3969,7.361000000000001,-26.3873,0.5850000000000001,1
201,29,6,1.3513,1.2891,2.6403999999999996,0.2233,636560000.0,0.1507,3.7969999999999997,-10.5447,0.545,2
202,29,7,1.3513,1.4713,2.8226,-0.0588,636560000.0,0.2273,4.0043,39.1505,0.03,3
203,30,1,1.3976,-0.6367,0.7608999999999999,-0.0568,227000000.0,0.3072,1.9191,31.7534,0.0,14
204,30,2,1.3976,-0.4486,0.949,0.2065,227000000.0,0.1881,2.1119,-27.715999999999998,0.0,15
205,30,3,1.4207,-0.41100000000000003,1.0097,-0.1371,227000000.0,0.0377,2.1682,-12.8833,0.0,16
206,30,4,1.5535,-0.7919,0.7616,0.0074,227000000.0,-0.3809,1.9206,11.9848,0.0,17
207,30,5,1.5777,-1.6867,-0.10899999999999999,-0.0683,227000000.0,-0.8948,1.0521,-9.1976,0.0,18
208,30,6,1.7123,-1.5819,0.13039999999999985,-0.0383,227000000.0,0.1019,1.2887,-24.2895,0.0,19
209,30,7,1.7123,-1.5135,0.19879999999999987,0.3404,227000000.0,0.0685,1.3571,64.6809,0.0,20
210,31,1,0.534,1.1272,1.6612,0.46799999999999997,751582550.0,0.7025,2.7755,54.1593,0.0,4
211,31,2,3.1247,1.7504,4.8751,0.7668,848016733.0,1.0697,6.0896,77.9054,0.475,5
212,31,3,1.2858,1.6615,2.9473000000000003,0.1896,1526430119.0,0.856,4.15,38.5431,0.525,6
213,31,4,1.3429,2.5546,3.8975,1.4741,1526430119.0,1.0858,5.4578,26.3729,0.1,7
214,31,5,1.3356,3.1665,4.5021,-0.1221,1526459692.0,0.8196,6.1614,7.5363,0.1,8
215,31,6,1.3079,4.0679,5.3758,-0.4598,1526629845.0,1.0815,6.8342,41.2403,0.625,9
216,31,7,0.9093,2.4201,3.3294,0.0445,3245103948.0,0.6592,4.5899,32.3952,0.625,10
217,32,1,,,0.0,,,,,,0.0,-4
218,32,2,,,0.0,,,,,,0.0,-3
219,32,3,,,0.0,,150000000.0,,,,0.0,-2
220,32,4,,,0.0,,150000000.0,,,0.3622,0.0,-1
221,32,5,,,0.0,,150000000.0,,,3.3377,0.0,0
222,32,6,0.7231,1.9602,2.6833,0.0982,200200000.0,0.2937,3.9083,5.9777,0.045,1
223,32,7,2.9517,1.889,4.8407,0.6234,229646720.0,0.2764,6.0508,6.2719,0.09,2
224,33,1,0.3044,0.6994,1.0038,-0.3545,379988172.0,0.1429,2.0865,-32.8562,0.0,14
225,33,2,1.1117,0.7275,1.8392,0.8168,459888172.0,0.1496,2.9075,23.3587,0.0,15
226,33,3,1.1117,0.8713,1.9829999999999999,-0.1502,459888172.0,0.156,3.0628,-10.3751,0.0,16
227,33,4,1.2093,1.4587,2.668,-0.7339,459888172.0,0.4344,3.7639,28.7436,0.03,17
228,33,5,1.5785,1.6616,3.2401,0.4343,511403323.0,0.4235,4.3442,4.8459,0.5800000000000001,18
229,33,6,0.2724,0.965,1.2374,0.0552,1022806646.0,0.1863,2.2957,17.412,0.56,19
230,33,7,0.2707,0.9506,1.2213,-0.2035,1022806646.0,0.0071,2.2816,-19.168,0.02,20
231,34,1,3.9259,1.6645,5.5904,-2.2337,103350000.0,0.8346,6.7698,53.4023,0.5,2
232,34,2,3.9259,2.0714,5.9973,0.2848,103350000.0,0.9395,7.2093,12.1436,1.0,3
233,34,3,1.463,1.033,2.496,-0.2668,206700000.0,0.3271,3.6818,-10.8367,0.8,4
234,34,4,1.756,0.9181,2.6741,-0.0146,214599453.0,0.0231,3.853,2.9796,0.1,5
235,34,5,1.756,0.9277,2.6837,-0.0434,214599453.0,0.109,3.8627,-7.8073,0.8500000000000001,6
236,34,6,1.1735,0.3251,1.4986,0.1831,660399255.0,0.0469,2.5932,39.5552,0.8500000000000001,7
237,34,7,1.1604,0.3551,1.5155,-0.0663,669279255.0,0.1519,2.5810000000000004,83.5887,0.1,8
238,35,1,3.3122,0.7421,4.0543,-0.6939,101200000.0,0.2023,5.1151,26.8622,0.1,2
239,35,2,3.4234,0.7932,4.2166,-1.8643,103030000.0,0.1758,5.2896,44.2511,0.5989295,3
240,35,3,1.1987,0.2827,1.4814,0.138,205284991.0,-0.0441,2.5463,-7.6997,0.5739295,4
241,35,4,1.1792,0.3302,1.5094,0.1043,203723519.0,0.1057,2.6641,-21.8337,0.6,5
242,35,5,1.9741,0.1394,2.1135,-0.0958,534763213.0,0.0703,3.1739,260.9278,1.1,6
243,35,6,0.4871,0.2182,0.7053,0.2154,1069526426.0,0.1883,1.7508,138.3465,0.585636,7
244,35,7,0.4871,0.2319,0.719,0.0207,1069526426.0,0.1337,1.7639,75.2671,0.07563600000000001,8
245,36,1,1.4462,-1.2649,0.18130000000000002,0.1343,276800000.0,0.4068,1.2927,84.9258,0.0,15
246,36,2,1.4462,-1.2122,0.23399999999999999,0.134,276800000.0,0.0527,1.3454,2.8747,0.0,16
247,36,3,1.4462,-1.7853,-0.3391000000000002,0.183,276800000.0,-0.573,0.7724,-36.944,0.0,17
248,36,4,2.9954,-1.1145,1.8809,1.2507,342926168.0,0.1886,3.0048,38.6573,0.0,18
249,36,5,2.6203,-0.7113,1.9089999999999998,-0.9341,444486764.0,-0.0138,3.0158,28.3833,0.5,19
250,36,6,0.9441,-0.2484,0.6957,0.3553,1133684103.0,0.0305,1.7376,4.3484,0.5,20
251,36,7,0.9453,-0.1578,0.7875000000000001,0.0328,1133684103.0,0.0906,1.8294,12.4798,0.0,21
252,37,1,0.9288,1.3871,2.3159,1.1777,30600000.0,0.7852,3.45,,0.0,-3
253,37,2,0.9288,2.1229,3.0517,0.0126,30600000.0,0.8137,4.2659,8.168,0.0,-2
254,37,3,0.9288,2.9667,3.8954999999999997,0.6742,30600000.0,0.9408,5.2049,12.5701,0.0,-1
255,37,4,0.9288,3.8491,4.7779,0.1829,30600000.0,0.9825,6.1875,16.2867,0.1,0
256,37,5,3.9396,3.4112,7.3508,0.8599,40800000.0,0.7911,8.726,15.8602,0.7,1
257,37,6,1.4698,2.0005,3.4703,-1.2231,81600000.0,0.4304,4.7583,3.7033,0.725,2
258,37,7,1.4698,2.166,3.6357999999999997,0.0577,81600000.0,0.4563,4.9553,6.1921,0.25,3
259,38,1,,,0.0,,,,,,0.0,-3
260,38,2,,,0.0,,66000000.0,,4.7705,,0.0,-2
261,38,3,,,0.0,,66000000.0,,,-12.5266,0.0,-1
262,38,4,,,0.0,,66000000.0,,,-9.4463,0.0,0
263,38,5,2.6887,2.4738,5.1625,0.4885,88000000.0,0.3285,6.4973,-20.1154,0.0625,1
264,38,6,2.6887,2.4516,5.1403,-0.5684,88000000.0,0.1162,6.4886,-26.4157,0.0825,2
265,38,7,2.6887,1.4446,4.1333,-0.4392,88000000.0,-0.9670000000000001,5.4816,19.7472,0.02,3
266,39,1,0.7236,0.4259,1.1495,0.4192,134500000.0,0.4253,2.2,,0.0,-2
267,39,2,0.7236,0.7440000000000001,1.4676,0.2493,134500000.0,0.3534,2.5502,-13.9079,0.0,-1
268,39,3,0.7236,0.9992,1.7227999999999999,-0.4659,134500000.0,0.2835,2.8337,1.2458,0.0,0
269,39,4,1.1923,0.8922,2.0845,0.0433,179500000.0,0.1595,3.1843,-3.3584,0.05,1
270,39,5,1.1923,0.9279,2.1201999999999996,0.0396,179500000.0,0.1508,3.2345,7.2379999999999995,0.6050000000000001,2
271,39,6,2.2652,0.4386,2.7038,-0.0087,446198794.0,0.115,3.7593,34.6822,0.5800000000000001,3
272,39,7,2.2652,0.4831,2.7483,-0.0941,446198794.0,0.0945,3.8043,12.2477,0.05,4
273,40,1,0.2907,1.325,1.6157,-0.3553,1279077898.0,0.4801,2.7224,40.714,0.0,10
274,40,2,0.4316,1.6684,2.1,0.4156,1279077898.0,0.3598,3.2169,-12.7117,0.25,11
275,40,3,0.9729,1.1091,2.082,0.5508,1719160378.0,0.1373,3.2227,-14.6115,0.275,12
276,40,4,0.9729,1.2144,2.1873,-0.0499,1719160378.0,0.1624,3.3418,2.2398,0.025,13
277,40,5,0.9722,1.2262,2.1984,-0.0012,1719160378.0,0.018000000000000002,3.3573,-32.4326,0.0,14
278,40,6,0.9722,1.265,2.2371999999999996,-0.3833,1719160378.0,0.0392,3.3947,2.7843,0.011000000000000001,15
279,40,7,1.2303,3.0728,4.3031,0.0674,1788794378.0,2.0239,5.4241,248.6204,0.961,16
280,41,1,0.026000000000000002,0.9555,0.9815,0.7489,1300530485.0,0.556,2.1573,9.6522,0.0,9
281,41,2,0.0442,1.3076,1.3518000000000001,0.3774,1300530485.0,0.4025,2.5772,0.1584,0.5,10
282,41,3,0.0439,0.6828,0.7267,-0.711,1326092985.0,0.4294,1.9716,-1.0516,0.565,11
283,41,4,0.0566,0.937,0.9936,0.0182,1326092985.0,0.4267,2.2622,-12.5166,0.465,12
